Time	Cycle	PC	Insn	Decoded instruction	Register and memory contents
6290006f	jal	x0,100ea8	  x0=0x00000000
004d0d13	addi	x26,x26,4	 x26:0x00101d10 x26=0x00101d14
ffaddce3	bge	x27,x26,100f40	 x27:0x00101d48 x26:0x00101d14
000d2023	sw	x0,0(x26)	 x26:0x00101d14  x0:0x00000000 PA:0x00101d14 store:0x00000000 load:0x00000000
004d0d13	addi	x26,x26,4	 x26:0x00101d14 x26=0x00101d18
ffaddce3	bge	x27,x26,100f40	 x27:0x00101d48 x26:0x00101d18
000d2023	sw	x0,0(x26)	 x26:0x00101d18  x0:0x00000000 PA:0x00101d18 store:0x00000000 load:0x00000000
004d0d13	addi	x26,x26,4	 x26:0x00101d18 x26=0x00101d1c
ffaddce3	bge	x27,x26,100f40	 x27:0x00101d48 x26:0x00101d1c
000d2023	sw	x0,0(x26)	 x26:0x00101d1c  x0:0x00000000 PA:0x00101d1c store:0x00000000 load:0x00000000
004d0d13	addi	x26,x26,4	 x26:0x00101d1c x26=0x00101d20
ffaddce3	bge	x27,x26,100f40	 x27:0x00101d48 x26:0x00101d20
000d2023	sw	x0,0(x26)	 x26:0x00101d20  x0:0x00000000 PA:0x00101d20 store:0x00000000 load:0x00000000
004d0d13	addi	x26,x26,4	 x26:0x00101d20 x26=0x00101d24
ffaddce3	bge	x27,x26,100f40	 x27:0x00101d48 x26:0x00101d24
000d2023	sw	x0,0(x26)	 x26:0x00101d24  x0:0x00000000 PA:0x00101d24 store:0x00000000 load:0x00000000
004d0d13	addi	x26,x26,4	 x26:0x00101d24 x26=0x00101d28
ffaddce3	bge	x27,x26,100f40	 x27:0x00101d48 x26:0x00101d28
000d2023	sw	x0,0(x26)	 x26:0x00101d28  x0:0x00000000 PA:0x00101d28 store:0x00000000 load:0x00000000
004d0d13	addi	x26,x26,4	 x26:0x00101d28 x26=0x00101d2c
ffaddce3	bge	x27,x26,100f40	 x27:0x00101d48 x26:0x00101d2c
000d2023	sw	x0,0(x26)	 x26:0x00101d2c  x0:0x00000000 PA:0x00101d2c store:0x00000000 load:0x00000000
004d0d13	addi	x26,x26,4	 x26:0x00101d2c x26=0x00101d30
ffaddce3	bge	x27,x26,100f40	 x27:0x00101d48 x26:0x00101d30
000d2023	sw	x0,0(x26)	 x26:0x00101d30  x0:0x00000000 PA:0x00101d30 store:0x00000000 load:0x00000000
004d0d13	addi	x26,x26,4	 x26:0x00101d30 x26=0x00101d34
ffaddce3	bge	x27,x26,100f40	 x27:0x00101d48 x26:0x00101d34
000d2023	sw	x0,0(x26)	 x26:0x00101d34  x0:0x00000000 PA:0x00101d34 store:0x00000000 load:0x00000000
004d0d13	addi	x26,x26,4	 x26:0x00101d34 x26=0x00101d38
ffaddce3	bge	x27,x26,100f40	 x27:0x00101d48 x26:0x00101d38
000d2023	sw	x0,0(x26)	 x26:0x00101d38  x0:0x00000000 PA:0x00101d38 store:0x00000000 load:0x00000000
004d0d13	addi	x26,x26,4	 x26:0x00101d38 x26=0x00101d3c
ffaddce3	bge	x27,x26,100f40	 x27:0x00101d48 x26:0x00101d3c
000d2023	sw	x0,0(x26)	 x26:0x00101d3c  x0:0x00000000 PA:0x00101d3c store:0x00000000 load:0x00000000
004d0d13	addi	x26,x26,4	 x26:0x00101d3c x26=0x00101d40
ffaddce3	bge	x27,x26,100f40	 x27:0x00101d48 x26:0x00101d40
000d2023	sw	x0,0(x26)	 x26:0x00101d40  x0:0x00000000 PA:0x00101d40 store:0x00000000 load:0x00000000
004d0d13	addi	x26,x26,4	 x26:0x00101d40 x26=0x00101d44
ffaddce3	bge	x27,x26,100f40	 x27:0x00101d48 x26:0x00101d44
000d2023	sw	x0,0(x26)	 x26:0x00101d44  x0:0x00000000 PA:0x00101d44 store:0x00000000 load:0x00000000
004d0d13	addi	x26,x26,4	 x26:0x00101d44 x26=0x00101d48
ffaddce3	bge	x27,x26,100f40	 x27:0x00101d48 x26:0x00101d48
000d2023	sw	x0,0(x26)	 x26:0x00101d48  x0:0x00000000 PA:0x00101d48 store:0x00000000 load:0x00000000
004d0d13	addi	x26,x26,4	 x26:0x00101d48 x26=0x00101d4c
ffaddce3	bge	x27,x26,100f40	 x27:0x00101d48 x26:0x00101d4c
00000513	addi	x10,x0,0	  x0:0x00000000 x10=0x00000000
00000593	addi	x11,x0,0	  x0:0x00000000 x11=0x00000000
01c000ef	jal	x1,100f70	  x1=0x00100f58
fa010113	addi	x2,x2,-96	  x2:0x00138000  x2=0x00137fa0
00000513	addi	x10,x0,0	  x0:0x00000000 x10=0x00000000
04112e23	sw	x1,92(x2)	  x2:0x00137fa0  x1:0x00100f58 PA:0x00137ffc store:0x00100f58 load:0x00000000
04812c23	sw	x8,88(x2)	  x2:0x00137fa0  x8:0x00000000 PA:0x00137ff8 store:0x00000000 load:0x00000000
04912a23	sw	x9,84(x2)	  x2:0x00137fa0  x9:0x00000000 PA:0x00137ff4 store:0x00000000 load:0x00000000
05212823	sw	x18,80(x2)	  x2:0x00137fa0 x18:0x00000000 PA:0x00137ff0 store:0x00000000 load:0x00000000
