Time	Cycle	PC	Insn	Decoded instruction	Register and memory contents
6290006f	jal	x0,100ea8	  x0=0x00000000
01cfd793	srli	x15,x31,0x1c	 x31:0x8fc55000 x15=0x00000008
00900713	addi	x14,x0,9	  x0:0x00000000 x14=0x00000009
f2f76ae3	bltu	x14,x15,100164	 x14:0x00000009 x15:0x00000008
03078393	addi	x7,x15,48	 x15:0x00000008  x7=0x00000038
000205b7	lui	x11,0x20	 x11=0x00020000
00c51613	slli	x12,x10,0xc	 x10:0x328fc550 x12=0xfc550000
0075a023	sw	x7,0(x11)	 x11:0x00020000  x7:0x00000038 PA:0x00020000 store:0x00000038 load:0x00000000
01c65693	srli	x13,x12,0x1c	 x12:0xfc550000 x13=0x0000000f
00900813	addi	x16,x0,9	  x0:0x00000000 x16=0x00000009
f2d86ae3	bltu	x16,x13,100180	 x16:0x00000009 x13:0x0000000f
03768893	addi	x17,x13,55	 x13:0x0000000f x17=0x00000046
00020e37	lui	x28,0x20	 x28=0x00020000
01051f93	slli	x31,x10,0x10	 x10:0x328fc550 x31=0xc5500000
011e2023	sw	x17,0(x28)	 x28:0x00020000 x17:0x00000046 PA:0x00020000 store:0x00000046 load:0x00000000
01cfd793	srli	x15,x31,0x1c	 x31:0xc5500000 x15=0x0000000c
00900713	addi	x14,x0,9	  x0:0x00000000 x14=0x00000009
0cf77a63	bgeu	x14,x15,10026c	 x14:0x00000009 x15:0x0000000c
03778293	addi	x5,x15,55	 x15:0x0000000c  x5=0x00000043
00020337	lui	x6,0x20	  x6=0x00020000
01451613	slli	x12,x10,0x14	 x10:0x328fc550 x12=0x55000000
00532023	sw	x5,0(x6)	  x6:0x00020000  x5:0x00000043 PA:0x00020000 store:0x00000043 load:0x00000000
01c65693	srli	x13,x12,0x1c	 x12:0x55000000 x13=0x00000005
00900813	addi	x16,x0,9	  x0:0x00000000 x16=0x00000009
0cd87a63	bgeu	x16,x13,100288	 x16:0x00000009 x13:0x00000005
03068e93	addi	x29,x13,48	 x13:0x00000005 x29=0x00000035
00020f37	lui	x30,0x20	 x30=0x00020000
01851f93	slli	x31,x10,0x18	 x10:0x328fc550 x31=0x50000000
01df2023	sw	x29,0(x30)	 x30:0x00020000 x29:0x00000035 PA:0x00020000 store:0x00000035 load:0x00000000
01cfd793	srli	x15,x31,0x1c	 x31:0x50000000 x15=0x00000005
00900713	addi	x14,x0,9	  x0:0x00000000 x14=0x00000009
f2f76ae3	bltu	x14,x15,1001d4	 x14:0x00000009 x15:0x00000005
03078393	addi	x7,x15,48	 x15:0x00000005  x7=0x00000035
000205b7	lui	x11,0x20	 x11=0x00020000
0075a023	sw	x7,0(x11)	 x11:0x00020000  x7:0x00000035 PA:0x00020000 store:0x00000035 load:0x00000000
00f57513	andi	x10,x10,15	 x10:0x328fc550 x10=0x00000000
00900613	addi	x12,x0,9	  x0:0x00000000 x12=0x00000009
f2a67ae3	bgeu	x12,x10,1001ec	 x12:0x00000009 x10:0x00000000
03050893	addi	x17,x10,48	 x10:0x00000000 x17=0x00000030
00020e37	lui	x28,0x20	 x28=0x00020000
011e2023	sw	x17,0(x28)	 x28:0x00020000 x17:0x00000030 PA:0x00020000 store:0x00000030 load:0x00000000
00008067	jalr	x0,0(x1)	  x1:0x00101238  x0=0x00000000
d089ae87	flw	f29,-760(x19)	 f19:0x00102000 f29=0x00000000 PA:0x00101d08 store:0x4598f2e4
d24baf07	flw	f30,-732(x23)	 f23:0x00102000 f30=0x00000000 PA:0x00101d24 store:0x42f67c6a
a10a8513	addi	x10,x21,-1520	 x21:0x00102000 x10=0x00101a10
19eeffd3	fdiv.s	f31,f29,f30	 f29:0x00000035 f30:0x00020000 f31=0x00000000
d1f9a427	fsw	f31,-760(x19)	 f19:0x00102000 f31:0x50000000 PA:0x00101d08 store:0x2f1551f2 load:0x42f67c6a
d089a007	flw	f0,-760(x19)	 f19:0x00102000  f0=0x00000000 PA:0x00101d08 store:0x4598f2e4
e0000e53	fmv.x.w	x28,f0	  f0:0x00000000 x28=0x2f1551f2
cfca2c23	sw	x28,-776(x20)	 x20:0x00102000 x28:0x2f1551f2 PA:0x00101cf8 store:0x2f1551f2 load:0x2f1551f2
e49fe0ef	jal	x1,1000a0	  x1=0x0010125c
00054803	lbu	x16,0(x10)	 x10:0x00101a10 x16=0x0000000a PA:0x00101a10 store:0x00000000
06080663	beq	x16,x0,100110	 x16:0x0000000a  x0:0x00000000
000207b7	lui	x15,0x20	 x15=0x00020000
0107a023	sw	x16,0(x15)	 x15:0x00020000 x16:0x0000000a PA:0x00020000 store:0x0000000a load:0x00000000
00154703	lbu	x14,1(x10)	 x10:0x00101a10 x14=0x00000020 PA:0x00101a11 store:0x0010125c
04070e63	beq	x14,x0,100110	 x14:0x00000020  x0:0x00000000
00e7a023	sw	x14,0(x15)	 x15:0x00020000 x14:0x00000020 PA:0x00020000 store:0x00000020 load:0x00000000
00254283	lbu	x5,2(x10)	 x10:0x00101a10  x5=0x00000069 PA:0x00101a12 store:0x00137fa0
04028863	beq	x5,x0,100110	  x5:0x00000069  x0:0x00000000
0057a023	sw	x5,0(x15)	 x15:0x00020000  x5:0x00000069 PA:0x00020000 store:0x00000069 load:0x00000000
00354303	lbu	x6,3(x10)	 x10:0x00101a10  x6=0x0000003d PA:0x00101a13 store:0x00000000
04030263	beq	x6,x0,100110	  x6:0x0000003d  x0:0x00000000
0067a023	sw	x6,0(x15)	 x15:0x00020000  x6:0x0000003d PA:0x00020000 store:0x0000003d load:0x00000000
00454383	lbu	x7,4(x10)	 x10:0x00101a10  x7=0x00000000 PA:0x00101a14 store:0x00000000
02038c63	beq	x7,x0,100110	  x7:0x00000000  x0:0x00000000
00000513	addi	x10,x0,0	  x0:0x00000000 x10=0x00000000
00008067	jalr	x0,0(x1)	  x1:0x0010125c  x0=0x00000000
000d8513	addi	x10,x27,0	 x27:0x00000005 x10=0x00000005
ec1fe0ef	jal	x1,100120	  x1=0x00101264
01c55793	srli	x15,x10,0x1c	 x10:0x00000005 x15=0x00000000
00900713	addi	x14,x0,9	  x0:0x00000000 x14=0x00000009
0cf77a63	bgeu	x14,x15,1001fc	 x14:0x00000009 x15:0x00000000
03078393	addi	x7,x15,48	 x15:0x00000000  x7=0x00000030
000205b7	lui	x11,0x20	 x11=0x00020000
00451613	slli	x12,x10,0x4	 x10:0x00000005 x12=0x00000050
0075a023	sw	x7,0(x11)	 x11:0x00020000  x7:0x00000030 PA:0x00020000 store:0x00000030 load:0x00000000
01c65693	srli	x13,x12,0x1c	 x12:0x00000050 x13=0x00000000
00900813	addi	x16,x0,9	  x0:0x00000000 x16=0x00000009
f2d86ae3	bltu	x16,x13,100148	 x16:0x00000009 x13:0x00000000
03068e93	addi	x29,x13,48	 x13:0x00000000 x29=0x00000030
00020f37	lui	x30,0x20	 x30=0x00020000
00851f93	slli	x31,x10,0x8	 x10:0x00000005 x31=0x00000500
01df2023	sw	x29,0(x30)	 x30:0x00020000 x29:0x00000030 PA:0x00020000 store:0x00000030 load:0x00000000
01cfd793	srli	x15,x31,0x1c	 x31:0x00000500 x15=0x00000000
00900713	addi	x14,x0,9	  x0:0x00000000 x14=0x00000009
f2f76ae3	bltu	x14,x15,100164	 x14:0x00000009 x15:0x00000000
03078393	addi	x7,x15,48	 x15:0x00000000  x7=0x00000030
000205b7	lui	x11,0x20	 x11=0x00020000
00c51613	slli	x12,x10,0xc	 x10:0x00000005 x12=0x00005000
0075a023	sw	x7,0(x11)	 x11:0x00020000  x7:0x00000030 PA:0x00020000 store:0x00000030 load:0x00000000
01c65693	srli	x13,x12,0x1c	 x12:0x00005000 x13=0x00000000
00900813	addi	x16,x0,9	  x0:0x00000000 x16=0x00000009
f2d86ae3	bltu	x16,x13,100180	 x16:0x00000009 x13:0x00000000
03068e93	addi	x29,x13,48	 x13:0x00000000 x29=0x00000030
00020f37	lui	x30,0x20	 x30=0x00020000
01051f93	slli	x31,x10,0x10	 x10:0x00000005 x31=0x00050000
01df2023	sw	x29,0(x30)	 x30:0x00020000 x29:0x00000030 PA:0x00020000 store:0x00000030 load:0x00000000
01cfd793	srli	x15,x31,0x1c	 x31:0x00050000 x15=0x00000000
00900713	addi	x14,x0,9	  x0:0x00000000 x14=0x00000009
f2f76ae3	bltu	x14,x15,10019c	 x14:0x00000009 x15:0x00000000
03078393	addi	x7,x15,48	 x15:0x00000000  x7=0x00000030
000205b7	lui	x11,0x20	 x11=0x00020000
01451613	slli	x12,x10,0x14	 x10:0x00000005 x12=0x00500000
0075a023	sw	x7,0(x11)	 x11:0x00020000  x7:0x00000030 PA:0x00020000 store:0x00000030 load:0x00000000
01c65693	srli	x13,x12,0x1c	 x12:0x00500000 x13=0x00000000
00900813	addi	x16,x0,9	  x0:0x00000000 x16=0x00000009
f2d86ae3	bltu	x16,x13,1001b8	 x16:0x00000009 x13:0x00000000
03068e93	addi	x29,x13,48	 x13:0x00000000 x29=0x00000030
00020f37	lui	x30,0x20	 x30=0x00020000
01851f93	slli	x31,x10,0x18	 x10:0x00000005 x31=0x05000000
01df2023	sw	x29,0(x30)	 x30:0x00020000 x29:0x00000030 PA:0x00020000 store:0x00000030 load:0x00000000
01cfd793	srli	x15,x31,0x1c	 x31:0x05000000 x15=0x00000000
00900713	addi	x14,x0,9	  x0:0x00000000 x14=0x00000009
f2f76ae3	bltu	x14,x15,1001d4	 x14:0x00000009 x15:0x00000000
03078393	addi	x7,x15,48	 x15:0x00000000  x7=0x00000030
000205b7	lui	x11,0x20	 x11=0x00020000
0075a023	sw	x7,0(x11)	 x11:0x00020000  x7:0x00000030 PA:0x00020000 store:0x00000030 load:0x00000000
00f57513	andi	x10,x10,15	 x10:0x00000005 x10=0x00000005
00900613	addi	x12,x0,9	  x0:0x00000000 x12=0x00000009
f2a67ae3	bgeu	x12,x10,1001ec	 x12:0x00000009 x10:0x00000005
03050893	addi	x17,x10,48	 x10:0x00000005 x17=0x00000035
00020e37	lui	x28,0x20	 x28=0x00020000
011e2023	sw	x17,0(x28)	 x28:0x00020000 x17:0x00000035 PA:0x00020000 store:0x00000035 load:0x00000000
00008067	jalr	x0,0(x1)	  x1:0x00101264  x0=0x00000000
a18b0513	addi	x10,x22,-1512	 x22:0x00102000 x10=0x00101a18
e39fe0ef	jal	x1,1000a0	  x1=0x0010126c
00054803	lbu	x16,0(x10)	 x10:0x00101a18 x16=0x00000020 PA:0x00101a18 store:0x00000000
06080663	beq	x16,x0,100110	 x16:0x00000020  x0:0x00000000
000207b7	lui	x15,0x20	 x15=0x00020000
0107a023	sw	x16,0(x15)	 x15:0x00020000 x16:0x00000020 PA:0x00020000 store:0x00000020 load:0x00000000
00154703	lbu	x14,1(x10)	 x10:0x00101a18 x14=0x00000072 PA:0x00101a19 store:0x0010126c
04070e63	beq	x14,x0,100110	 x14:0x00000072  x0:0x00000000
00e7a023	sw	x14,0(x15)	 x15:0x00020000 x14:0x00000072 PA:0x00020000 store:0x00000072 load:0x00000000
00254283	lbu	x5,2(x10)	 x10:0x00101a18  x5=0x00000065 PA:0x00101a1a store:0x00137fa0
04028863	beq	x5,x0,100110	  x5:0x00000065  x0:0x00000000
0057a023	sw	x5,0(x15)	 x15:0x00020000  x5:0x00000065 PA:0x00020000 store:0x00000065 load:0x00000000
00354303	lbu	x6,3(x10)	 x10:0x00101a18  x6=0x00000073 PA:0x00101a1b store:0x00000000
04030263	beq	x6,x0,100110	  x6:0x00000073  x0:0x00000000
0067a023	sw	x6,0(x15)	 x15:0x00020000  x6:0x00000073 PA:0x00020000 store:0x00000073 load:0x00000000
00454383	lbu	x7,4(x10)	 x10:0x00101a18  x7=0x00000075 PA:0x00101a1c store:0x00000000
02038c63	beq	x7,x0,100110	  x7:0x00000075  x0:0x00000000
0077a023	sw	x7,0(x15)	 x15:0x00020000  x7:0x00000075 PA:0x00020000 store:0x00000075 load:0x00000000
00554583	lbu	x11,5(x10)	 x10:0x00101a18 x11=0x0000006c PA:0x00101a1d store:0x00000065
02058663	beq	x11,x0,100110	 x11:0x0000006c  x0:0x00000000
00b7a023	sw	x11,0(x15)	 x15:0x00020000 x11:0x0000006c PA:0x00020000 store:0x0000006c load:0x00000000
00654603	lbu	x12,6(x10)	 x10:0x00101a18 x12=0x00000074 PA:0x00101a1e store:0x00000073
02060063	beq	x12,x0,100110	 x12:0x00000074  x0:0x00000000
00c7a023	sw	x12,0(x15)	 x15:0x00020000 x12:0x00000074 PA:0x00020000 store:0x00000074 load:0x00000000
00754683	lbu	x13,7(x10)	 x10:0x00101a18 x13=0x0000003a PA:0x00101a1f store:0x00000075
00850513	addi	x10,x10,8	 x10:0x00101a18 x10=0x00101a20
00068863	beq	x13,x0,100110	 x13:0x0000003a  x0:0x00000000
00d7a023	sw	x13,0(x15)	 x15:0x00020000 x13:0x0000003a PA:0x00020000 store:0x0000003a load:0x00000000
00054803	lbu	x16,0(x10)	 x10:0x00101a20 x16=0x00000020 PA:0x00101a20 store:0x00000000
fa0810e3	bne	x16,x0,1000ac	 x16:0x00000020  x0:0x00000000
0107a023	sw	x16,0(x15)	 x15:0x00020000 x16:0x00000020 PA:0x00020000 store:0x00000020 load:0x00000000
00154703	lbu	x14,1(x10)	 x10:0x00101a20 x14=0x00000000 PA:0x00101a21 store:0x0010126c
04070e63	beq	x14,x0,100110	 x14:0x00000000  x0:0x00000000
00000513	addi	x10,x0,0	  x0:0x00000000 x10=0x00000000
00008067	jalr	x0,0(x1)	  x1:0x0010126c  x0=0x00000000
cf8a2503	lw	x10,-776(x20)	 x20:0x00102000 x10=0x2f1551f2 PA:0x00101cf8 store:0x00000004
002c0d93	addi	x27,x24,2	 x24:0x00000004 x27=0x00000006
eadfe0ef	jal	x1,100120	  x1=0x00101278
01c55793	srli	x15,x10,0x1c	 x10:0x2f1551f2 x15=0x00000002
00900713	addi	x14,x0,9	  x0:0x00000000 x14=0x00000009
0cf77a63	bgeu	x14,x15,1001fc	 x14:0x00000009 x15:0x00000002
03078393	addi	x7,x15,48	 x15:0x00000002  x7=0x00000032
000205b7	lui	x11,0x20	 x11=0x00020000
00451613	slli	x12,x10,0x4	 x10:0x2f1551f2 x12=0xf1551f20
0075a023	sw	x7,0(x11)	 x11:0x00020000  x7:0x00000032 PA:0x00020000 store:0x00000032 load:0x00000000
01c65693	srli	x13,x12,0x1c	 x12:0xf1551f20 x13=0x0000000f
00900813	addi	x16,x0,9	  x0:0x00000000 x16=0x00000009
f2d86ae3	bltu	x16,x13,100148	 x16:0x00000009 x13:0x0000000f
03768893	addi	x17,x13,55	 x13:0x0000000f x17=0x00000046
00020e37	lui	x28,0x20	 x28=0x00020000
00851f93	slli	x31,x10,0x8	 x10:0x2f1551f2 x31=0x1551f200
011e2023	sw	x17,0(x28)	 x28:0x00020000 x17:0x00000046 PA:0x00020000 store:0x00000046 load:0x00000000
01cfd793	srli	x15,x31,0x1c	 x31:0x1551f200 x15=0x00000001
00900713	addi	x14,x0,9	  x0:0x00000000 x14=0x00000009
0cf77a63	bgeu	x14,x15,100234	 x14:0x00000009 x15:0x00000001
03078393	addi	x7,x15,48	 x15:0x00000001  x7=0x00000031
000205b7	lui	x11,0x20	 x11=0x00020000
00c51613	slli	x12,x10,0xc	 x10:0x2f1551f2 x12=0x551f2000
0075a023	sw	x7,0(x11)	 x11:0x00020000  x7:0x00000031 PA:0x00020000 store:0x00000031 load:0x00000000
01c65693	srli	x13,x12,0x1c	 x12:0x551f2000 x13=0x00000005
00900813	addi	x16,x0,9	  x0:0x00000000 x16=0x00000009
f2d86ae3	bltu	x16,x13,100180	 x16:0x00000009 x13:0x00000005
03068e93	addi	x29,x13,48	 x13:0x00000005 x29=0x00000035
00020f37	lui	x30,0x20	 x30=0x00020000
01051f93	slli	x31,x10,0x10	 x10:0x2f1551f2 x31=0x51f20000
01df2023	sw	x29,0(x30)	 x30:0x00020000 x29:0x00000035 PA:0x00020000 store:0x00000035 load:0x00000000
01cfd793	srli	x15,x31,0x1c	 x31:0x51f20000 x15=0x00000005
00900713	addi	x14,x0,9	  x0:0x00000000 x14=0x00000009
f2f76ae3	bltu	x14,x15,10019c	 x14:0x00000009 x15:0x00000005
03078393	addi	x7,x15,48	 x15:0x00000005  x7=0x00000035
000205b7	lui	x11,0x20	 x11=0x00020000
01451613	slli	x12,x10,0x14	 x10:0x2f1551f2 x12=0x1f200000
0075a023	sw	x7,0(x11)	 x11:0x00020000  x7:0x00000035 PA:0x00020000 store:0x00000035 load:0x00000000
01c65693	srli	x13,x12,0x1c	 x12:0x1f200000 x13=0x00000001
00900813	addi	x16,x0,9	  x0:0x00000000 x16=0x00000009
f2d86ae3	bltu	x16,x13,1001b8	 x16:0x00000009 x13:0x00000001
03068e93	addi	x29,x13,48	 x13:0x00000001 x29=0x00000031
00020f37	lui	x30,0x20	 x30=0x00020000
01851f93	slli	x31,x10,0x18	 x10:0x2f1551f2 x31=0xf2000000
01df2023	sw	x29,0(x30)	 x30:0x00020000 x29:0x00000031 PA:0x00020000 store:0x00000031 load:0x00000000
01cfd793	srli	x15,x31,0x1c	 x31:0xf2000000 x15=0x0000000f
00900713	addi	x14,x0,9	  x0:0x00000000 x14=0x00000009
f2f76ae3	bltu	x14,x15,1001d4	 x14:0x00000009 x15:0x0000000f
03778293	addi	x5,x15,55	 x15:0x0000000f  x5=0x00000046
00020337	lui	x6,0x20	  x6=0x00020000
00532023	sw	x5,0(x6)	  x6:0x00020000  x5:0x00000046 PA:0x00020000 store:0x00000046 load:0x00000000
00f57513	andi	x10,x10,15	 x10:0x2f1551f2 x10=0x00000002
00900613	addi	x12,x0,9	  x0:0x00000000 x12=0x00000009
0ca66a63	bltu	x12,x10,1002bc	 x12:0x00000009 x10:0x00000002
03050893	addi	x17,x10,48	 x10:0x00000002 x17=0x00000032
00020e37	lui	x28,0x20	 x28=0x00020000
011e2023	sw	x17,0(x28)	 x28:0x00020000 x17:0x00000032 PA:0x00020000 store:0x00000032 load:0x00000000
00008067	jalr	x0,0(x1)	  x1:0x00101278  x0=0x00000000
d089a087	flw	f1,-760(x19)	 f19:0x00102000  f1=0x00000000 PA:0x00101d08 store:0x4598f2e4
d24ba107	flw	f2,-732(x23)	 f23:0x00102000  f2=0x00000000 PA:0x00101d24 store:0x42f67c6a
a10a8513	addi	x10,x21,-1520	 x21:0x00102000 x10=0x00101a10
1820f753	fdiv.s	f14,f1,f2	  f1:0x00101278  f2:0x00137fa0 f14=0x00000000
d0e9a427	fsw	f14,-760(x19)	 f19:0x00102000 f14:0x00000009 PA:0x00101d08 store:0x2b9b156a load:0x42f67c6a
d089a787	flw	f15,-760(x19)	 f19:0x00102000 f15=0x00000000 PA:0x00101d08 store:0x4598f2e4
e0078ed3	fmv.x.w	x29,f15	 f15:0x0000000f x29=0x2b9b156a
cfda2c23	sw	x29,-776(x20)	 x20:0x00102000 x29:0x2b9b156a PA:0x00101cf8 store:0x2b9b156a load:0x2b9b156a
e09fe0ef	jal	x1,1000a0	  x1=0x0010129c
00054803	lbu	x16,0(x10)	 x10:0x00101a10 x16=0x0000000a PA:0x00101a10 store:0x00000000
06080663	beq	x16,x0,100110	 x16:0x0000000a  x0:0x00000000
000207b7	lui	x15,0x20	 x15=0x00020000
0107a023	sw	x16,0(x15)	 x15:0x00020000 x16:0x0000000a PA:0x00020000 store:0x0000000a load:0x00000000
00154703	lbu	x14,1(x10)	 x10:0x00101a10 x14=0x00000020 PA:0x00101a11 store:0x0010129c
04070e63	beq	x14,x0,100110	 x14:0x00000020  x0:0x00000000
00e7a023	sw	x14,0(x15)	 x15:0x00020000 x14:0x00000020 PA:0x00020000 store:0x00000020 load:0x00000000
00254283	lbu	x5,2(x10)	 x10:0x00101a10  x5=0x00000069 PA:0x00101a12 store:0x00137fa0
04028863	beq	x5,x0,100110	  x5:0x00000069  x0:0x00000000
0057a023	sw	x5,0(x15)	 x15:0x00020000  x5:0x00000069 PA:0x00020000 store:0x00000069 load:0x00000000
00354303	lbu	x6,3(x10)	 x10:0x00101a10  x6=0x0000003d PA:0x00101a13 store:0x00000000
04030263	beq	x6,x0,100110	  x6:0x0000003d  x0:0x00000000
0067a023	sw	x6,0(x15)	 x15:0x00020000  x6:0x0000003d PA:0x00020000 store:0x0000003d load:0x00000000
00454383	lbu	x7,4(x10)	 x10:0x00101a10  x7=0x00000000 PA:0x00101a14 store:0x00000000
02038c63	beq	x7,x0,100110	  x7:0x00000000  x0:0x00000000
00000513	addi	x10,x0,0	  x0:0x00000000 x10=0x00000000
00008067	jalr	x0,0(x1)	  x1:0x0010129c  x0=0x00000000
000d8513	addi	x10,x27,0	 x27:0x00000006 x10=0x00000006
e81fe0ef	jal	x1,100120	  x1=0x001012a4
01c55793	srli	x15,x10,0x1c	 x10:0x00000006 x15=0x00000000
00900713	addi	x14,x0,9	  x0:0x00000000 x14=0x00000009
0cf77a63	bgeu	x14,x15,1001fc	 x14:0x00000009 x15:0x00000000
03078393	addi	x7,x15,48	 x15:0x00000000  x7=0x00000030
000205b7	lui	x11,0x20	 x11=0x00020000
00451613	slli	x12,x10,0x4	 x10:0x00000006 x12=0x00000060
0075a023	sw	x7,0(x11)	 x11:0x00020000  x7:0x00000030 PA:0x00020000 store:0x00000030 load:0x00000000
01c65693	srli	x13,x12,0x1c	 x12:0x00000060 x13=0x00000000
00900813	addi	x16,x0,9	  x0:0x00000000 x16=0x00000009
f2d86ae3	bltu	x16,x13,100148	 x16:0x00000009 x13:0x00000000
03068e93	addi	x29,x13,48	 x13:0x00000000 x29=0x00000030
00020f37	lui	x30,0x20	 x30=0x00020000
00851f93	slli	x31,x10,0x8	 x10:0x00000006 x31=0x00000600
01df2023	sw	x29,0(x30)	 x30:0x00020000 x29:0x00000030 PA:0x00020000 store:0x00000030 load:0x00000000
01cfd793	srli	x15,x31,0x1c	 x31:0x00000600 x15=0x00000000
00900713	addi	x14,x0,9	  x0:0x00000000 x14=0x00000009
f2f76ae3	bltu	x14,x15,100164	 x14:0x00000009 x15:0x00000000
03078393	addi	x7,x15,48	 x15:0x00000000  x7=0x00000030
000205b7	lui	x11,0x20	 x11=0x00020000
00c51613	slli	x12,x10,0xc	 x10:0x00000006 x12=0x00006000
0075a023	sw	x7,0(x11)	 x11:0x00020000  x7:0x00000030 PA:0x00020000 store:0x00000030 load:0x00000000
01c65693	srli	x13,x12,0x1c	 x12:0x00006000 x13=0x00000000
00900813	addi	x16,x0,9	  x0:0x00000000 x16=0x00000009
f2d86ae3	bltu	x16,x13,100180	 x16:0x00000009 x13:0x00000000
03068e93	addi	x29,x13,48	 x13:0x00000000 x29=0x00000030
00020f37	lui	x30,0x20	 x30=0x00020000
01051f93	slli	x31,x10,0x10	 x10:0x00000006 x31=0x00060000
01df2023	sw	x29,0(x30)	 x30:0x00020000 x29:0x00000030 PA:0x00020000 store:0x00000030 load:0x00000000
01cfd793	srli	x15,x31,0x1c	 x31:0x00060000 x15=0x00000000
00900713	addi	x14,x0,9	  x0:0x00000000 x14=0x00000009
f2f76ae3	bltu	x14,x15,10019c	 x14:0x00000009 x15:0x00000000
03078393	addi	x7,x15,48	 x15:0x00000000  x7=0x00000030
000205b7	lui	x11,0x20	 x11=0x00020000
01451613	slli	x12,x10,0x14	 x10:0x00000006 x12=0x00600000
0075a023	sw	x7,0(x11)	 x11:0x00020000  x7:0x00000030 PA:0x00020000 store:0x00000030 load:0x00000000
01c65693	srli	x13,x12,0x1c	 x12:0x00600000 x13=0x00000000
00900813	addi	x16,x0,9	  x0:0x00000000 x16=0x00000009
f2d86ae3	bltu	x16,x13,1001b8	 x16:0x00000009 x13:0x00000000
03068e93	addi	x29,x13,48	 x13:0x00000000 x29=0x00000030
00020f37	lui	x30,0x20	 x30=0x00020000
01851f93	slli	x31,x10,0x18	 x10:0x00000006 x31=0x06000000
01df2023	sw	x29,0(x30)	 x30:0x00020000 x29:0x00000030 PA:0x00020000 store:0x00000030 load:0x00000000
01cfd793	srli	x15,x31,0x1c	 x31:0x06000000 x15=0x00000000
00900713	addi	x14,x0,9	  x0:0x00000000 x14=0x00000009
f2f76ae3	bltu	x14,x15,1001d4	 x14:0x00000009 x15:0x00000000
03078393	addi	x7,x15,48	 x15:0x00000000  x7=0x00000030
000205b7	lui	x11,0x20	 x11=0x00020000
0075a023	sw	x7,0(x11)	 x11:0x00020000  x7:0x00000030 PA:0x00020000 store:0x00000030 load:0x00000000
00f57513	andi	x10,x10,15	 x10:0x00000006 x10=0x00000006
00900613	addi	x12,x0,9	  x0:0x00000000 x12=0x00000009
f2a67ae3	bgeu	x12,x10,1001ec	 x12:0x00000009 x10:0x00000006
03050893	addi	x17,x10,48	 x10:0x00000006 x17=0x00000036
00020e37	lui	x28,0x20	 x28=0x00020000
011e2023	sw	x17,0(x28)	 x28:0x00020000 x17:0x00000036 PA:0x00020000 store:0x00000036 load:0x00000000
00008067	jalr	x0,0(x1)	  x1:0x001012a4  x0=0x00000000
a18b0513	addi	x10,x22,-1512	 x22:0x00102000 x10=0x00101a18
df9fe0ef	jal	x1,1000a0	  x1=0x001012ac
00054803	lbu	x16,0(x10)	 x10:0x00101a18 x16=0x00000020 PA:0x00101a18 store:0x00000000
06080663	beq	x16,x0,100110	 x16:0x00000020  x0:0x00000000
000207b7	lui	x15,0x20	 x15=0x00020000
0107a023	sw	x16,0(x15)	 x15:0x00020000 x16:0x00000020 PA:0x00020000 store:0x00000020 load:0x00000000
00154703	lbu	x14,1(x10)	 x10:0x00101a18 x14=0x00000072 PA:0x00101a19 store:0x001012ac
04070e63	beq	x14,x0,100110	 x14:0x00000072  x0:0x00000000
00e7a023	sw	x14,0(x15)	 x15:0x00020000 x14:0x00000072 PA:0x00020000 store:0x00000072 load:0x00000000
00254283	lbu	x5,2(x10)	 x10:0x00101a18  x5=0x00000065 PA:0x00101a1a store:0x00137fa0
04028863	beq	x5,x0,100110	  x5:0x00000065  x0:0x00000000
0057a023	sw	x5,0(x15)	 x15:0x00020000  x5:0x00000065 PA:0x00020000 store:0x00000065 load:0x00000000
00354303	lbu	x6,3(x10)	 x10:0x00101a18  x6=0x00000073 PA:0x00101a1b store:0x00000000
04030263	beq	x6,x0,100110	  x6:0x00000073  x0:0x00000000
0067a023	sw	x6,0(x15)	 x15:0x00020000  x6:0x00000073 PA:0x00020000 store:0x00000073 load:0x00000000
00454383	lbu	x7,4(x10)	 x10:0x00101a18  x7=0x00000075 PA:0x00101a1c store:0x00000000
02038c63	beq	x7,x0,100110	  x7:0x00000075  x0:0x00000000
0077a023	sw	x7,0(x15)	 x15:0x00020000  x7:0x00000075 PA:0x00020000 store:0x00000075 load:0x00000000
00554583	lbu	x11,5(x10)	 x10:0x00101a18 x11=0x0000006c PA:0x00101a1d store:0x00000065
02058663	beq	x11,x0,100110	 x11:0x0000006c  x0:0x00000000
00b7a023	sw	x11,0(x15)	 x15:0x00020000 x11:0x0000006c PA:0x00020000 store:0x0000006c load:0x00000000
00654603	lbu	x12,6(x10)	 x10:0x00101a18 x12=0x00000074 PA:0x00101a1e store:0x00000073
02060063	beq	x12,x0,100110	 x12:0x00000074  x0:0x00000000
00c7a023	sw	x12,0(x15)	 x15:0x00020000 x12:0x00000074 PA:0x00020000 store:0x00000074 load:0x00000000
00754683	lbu	x13,7(x10)	 x10:0x00101a18 x13=0x0000003a PA:0x00101a1f store:0x00000075
00850513	addi	x10,x10,8	 x10:0x00101a18 x10=0x00101a20
00068863	beq	x13,x0,100110	 x13:0x0000003a  x0:0x00000000
00d7a023	sw	x13,0(x15)	 x15:0x00020000 x13:0x0000003a PA:0x00020000 store:0x0000003a load:0x00000000
00054803	lbu	x16,0(x10)	 x10:0x00101a20 x16=0x00000020 PA:0x00101a20 store:0x00000000
fa0810e3	bne	x16,x0,1000ac	 x16:0x00000020  x0:0x00000000
