Time	Cycle	PC	Insn	Decoded instruction	Register and memory contents
             20	         6	00100080	6290006f	jal	x0,100ea8	  x0=0x00000000
             22	         7	00100ea8	00000093	addi	x1,x0,0	  x0:0x00000000  x1=0x00000000
             24	         8	00100eac	00008113	addi	x2,x1,0	  x1:0x00000000  x2=0x00000000
             26	         9	00100eb0	00008193	addi	x3,x1,0	  x1:0x00000000  x3=0x00000000
             28	        10	00100eb4	00008213	addi	x4,x1,0	  x1:0x00000000  x4=0x00000000
             30	        11	00100eb8	00008293	addi	x5,x1,0	  x1:0x00000000  x5=0x00000000
             32	        12	00100ebc	00008313	addi	x6,x1,0	  x1:0x00000000  x6=0x00000000
             34	        13	00100ec0	00008393	addi	x7,x1,0	  x1:0x00000000  x7=0x00000000
             36	        14	00100ec4	00008413	addi	x8,x1,0	  x1:0x00000000  x8=0x00000000
             38	        15	00100ec8	00008493	addi	x9,x1,0	  x1:0x00000000  x9=0x00000000
             40	        16	00100ecc	00008513	addi	x10,x1,0	  x1:0x00000000 x10=0x00000000
             42	        17	00100ed0	00008593	addi	x11,x1,0	  x1:0x00000000 x11=0x00000000
             44	        18	00100ed4	00008613	addi	x12,x1,0	  x1:0x00000000 x12=0x00000000
             46	        19	00100ed8	00008693	addi	x13,x1,0	  x1:0x00000000 x13=0x00000000
             48	        20	00100edc	00008713	addi	x14,x1,0	  x1:0x00000000 x14=0x00000000
             50	        21	00100ee0	00008793	addi	x15,x1,0	  x1:0x00000000 x15=0x00000000
             52	        22	00100ee4	00008813	addi	x16,x1,0	  x1:0x00000000 x16=0x00000000
             54	        23	00100ee8	00008893	addi	x17,x1,0	  x1:0x00000000 x17=0x00000000
             56	        24	00100eec	00008913	addi	x18,x1,0	  x1:0x00000000 x18=0x00000000
             58	        25	00100ef0	00008993	addi	x19,x1,0	  x1:0x00000000 x19=0x00000000
             60	        26	00100ef4	00008a13	addi	x20,x1,0	  x1:0x00000000 x20=0x00000000
             62	        27	00100ef8	00008a93	addi	x21,x1,0	  x1:0x00000000 x21=0x00000000
             64	        28	00100efc	00008b13	addi	x22,x1,0	  x1:0x00000000 x22=0x00000000
             66	        29	00100f00	00008b93	addi	x23,x1,0	  x1:0x00000000 x23=0x00000000
             68	        30	00100f04	00008c13	addi	x24,x1,0	  x1:0x00000000 x24=0x00000000
             70	        31	00100f08	00008c93	addi	x25,x1,0	  x1:0x00000000 x25=0x00000000
             72	        32	00100f0c	00008d13	addi	x26,x1,0	  x1:0x00000000 x26=0x00000000
             74	        33	00100f10	00008d93	addi	x27,x1,0	  x1:0x00000000 x27=0x00000000
             76	        34	00100f14	00008e13	addi	x28,x1,0	  x1:0x00000000 x28=0x00000000
             78	        35	00100f18	00008e93	addi	x29,x1,0	  x1:0x00000000 x29=0x00000000
             80	        36	00100f1c	00008f13	addi	x30,x1,0	  x1:0x00000000 x30=0x00000000
             82	        37	00100f20	00008f93	addi	x31,x1,0	  x1:0x00000000 x31=0x00000000
             84	        38	00100f24	00037117	auipc	x2,0x37	  x2=0x00137f24
             86	        39	00100f28	0dc10113	addi	x2,x2,220	  x2:0x00137f24  x2=0x00138000
             88	        40	00100f2c	00001d17	auipc	x26,0x1	 x26=0x00101f2c
             90	        41	00100f30	db4d0d13	addi	x26,x26,-588	 x26:0x00101f2c x26=0x00101ce0
             92	        42	00100f34	00001d97	auipc	x27,0x1	 x27=0x00101f34
             94	        43	00100f38	e14d8d93	addi	x27,x27,-492	 x27:0x00101f34 x27=0x00101d48
             96	        44	00100f3c	01bd5863	bge	x26,x27,100f4c	 x26:0x00101ce0 x27:0x00101d48
            100	        46	00100f40	000d2023	sw	x0,0(x26)	 x26:0x00101ce0  x0:0x00000000 PA:0x00101ce0 store:0x00000000 load:0x00000000
            102	        47	00100f44	004d0d13	addi	x26,x26,4	 x26:0x00101ce0 x26=0x00101ce4
            106	        49	00100f48	ffaddce3	bge	x27,x26,100f40	 x27:0x00101d48 x26:0x00101ce4
            112	        52	00100f40	000d2023	sw	x0,0(x26)	 x26:0x00101ce4  x0:0x00000000 PA:0x00101ce4 store:0x00000000 load:0x00000000
            114	        53	00100f44	004d0d13	addi	x26,x26,4	 x26:0x00101ce4 x26=0x00101ce8
            118	        55	00100f48	ffaddce3	bge	x27,x26,100f40	 x27:0x00101d48 x26:0x00101ce8
            124	        58	00100f40	000d2023	sw	x0,0(x26)	 x26:0x00101ce8  x0:0x00000000 PA:0x00101ce8 store:0x00000000 load:0x00000000
            126	        59	00100f44	004d0d13	addi	x26,x26,4	 x26:0x00101ce8 x26=0x00101cec
            130	        61	00100f48	ffaddce3	bge	x27,x26,100f40	 x27:0x00101d48 x26:0x00101cec
            136	        64	00100f40	000d2023	sw	x0,0(x26)	 x26:0x00101cec  x0:0x00000000 PA:0x00101cec store:0x00000000 load:0x00000000
            138	        65	00100f44	004d0d13	addi	x26,x26,4	 x26:0x00101cec x26=0x00101cf0
            142	        67	00100f48	ffaddce3	bge	x27,x26,100f40	 x27:0x00101d48 x26:0x00101cf0
            148	        70	00100f40	000d2023	sw	x0,0(x26)	 x26:0x00101cf0  x0:0x00000000 PA:0x00101cf0 store:0x00000000 load:0x00000000
